,Time (Years),"Sept 1, 1995 Spot Rates","Sept 2, 2005 Discount Factors","Sept 3, 2015 Par Rates",Unnamed: 4,par from discount,forward from discount,spot rates from discount factors,par from spot ,discount factor from spot rates,forward rate from Spot Rates,discount from par,spot from par,forward from par
0,,,,,,,,,,,,,,
1,0.5,0.0552,0.98217355,0.0024,,0.0363,0.0363,0.0363,0.0552,0.9731413,0.028018985,0.998801438,,
2,1,0.056011204,0.964282531,0.0036,,0.0367,0.037107421,0.036703671,0.056,0.946256852,0.028993101,0.99461401,,
3,1.5,0.056948904,0.946310257,1.9,,0.03712,0.037983893,0.037130322,0.056915,0.919220023,0.029863142,-1.429481718,,
4,2,0.057865009,0.928353994,0.0071,,0.0375,0.038684086,0.037518652,0.0578,0.892179935,0.030326601,0.992472792,,
5,2.5,0.058605551,0.910617473,0.00878,,0.03778,0.038954932,0.037805827,0.05851,0.865534295,0.030065719,0.982023667,,
6,3,0.059010137,0.893403571,0.01,,0.0379,0.038535557,0.037927431,0.0589,0.839902871,0.030380964,0.969766864,,
7,3.5,0.059391837,0.876263036,0.01132625,,0.038064688,0.039121894,0.038098025,0.059262813,0.81477381,0.030426115,0.954857804,,
8,4,0.059689811,0.859354303,0.01258,,0.038215,0.039352181,0.038254753,0.059545,0.790360815,0.030502939,0.937955033,,
9,4.5,0.059939187,0.842667262,0.01376875,,0.038357813,0.039605291,0.038404768,0.059779688,0.76662039,0.030686638,0.919305998,,
10,5,0.060176524,0.826180083,0.0149,,0.0385,0.039911829,0.038555424,0.06,0.743456593,0.031782868,0.899128784,,
11,5.5,0.060575713,0.809765201,0.016033036,,0.03866808,0.040542325,0.038735972,0.060355134,0.720204131,0.032237787,0.877218149,,
12,6,0.060986432,0.793502006,0.017102857,,0.038841429,0.040990936,0.03892379,0.060715714,0.697362123,0.032610155,0.85421914,,
13,6.5,0.061392981,0.777391091,0.01809625,,0.039019062,0.041448674,0.039117901,0.061068437,0.674993571,0.032864595,0.830508062,,
14,7,0.061778945,0.761434698,0.019,,0.0392,0.041911389,0.039317309,0.0614,0.653176476,0.032963516,0.806491916,,
15,7.5,0.062127123,0.745636612,0.019800893,,0.039383259,0.042374759,0.039520997,0.061697098,0.632001947,0.032867125,0.78260237,,
16,8,0.06241948,0.730002045,0.020485714,,0.039567857,0.04283431,0.039727921,0.061946429,0.611572429,0.032533609,0.759290209,,
17,8.5,0.062637133,0.714537533,0.02104125,,0.039752813,0.043285374,0.039937012,0.062134688,0.592000103,0.031919535,0.737020466,,
18,9,0.062760389,0.699250828,0.021454286,,0.039937143,0.043723094,0.040147165,0.062248571,0.573405463,0.030980542,0.716268585,,
19,9.5,0.062768835,0.6841508,0.021711607,,0.040119866,0.044142397,0.040357246,0.062274777,0.5559161,0.02967239,0.697517746,,
20,10,0.06264151,0.669247337,0.0218,,0.0403,0.044537982,0.04056608,0.0622,0.539665732,0.031289254,0.681257619,,
21,10.5,0.062685112,0.654491232,0.021995776,,0.040483737,0.045091834,0.040781364,0.062246327,0.523044086,0.031182023,0.663604494,,
22,11,0.062714706,0.639920126,0.022139077,,0.040666462,0.04554039,0.040997443,0.062281231,0.506988698,0.031129737,0.646906152,,
23,11.5,0.062737041,0.625538983,0.02223925,,0.04084775,0.045980006,0.041213824,0.06230975,0.491451823,0.031148908,0.631097581,,
24,12,0.062759162,0.611353065,0.022305641,,0.041027179,0.046408267,0.041429996,0.062336923,0.476381954,0.031256965,0.616086672,,
25,12.5,0.062788423,0.597367892,0.022347596,,0.041204327,0.046822647,0.041645429,0.062367788,0.461724329,0.031472383,0.601756629,,
26,13,0.06283251,0.58358921,0.022374462,,0.041378769,0.047220482,0.041859573,0.062407385,0.447421388,0.031814865,0.58796814,,
27,13.5,0.06289947,0.570022958,0.022395583,,0.041550083,0.047598967,0.042071856,0.06246075,0.433413214,0.032305596,0.574561427,,
28,14,0.062997753,0.556675235,0.022420308,,0.041717846,0.047955153,0.042281682,0.062532923,0.419637932,0.032967585,0.561357907,,
29,14.5,0.063136269,0.543552268,0.022457981,,0.041881635,0.048285943,0.042488432,0.062628942,0.406032106,0.033826134,0.548162064,,
30,15,0.063324458,0.530660389,0.022517949,,0.042041026,0.048588058,0.04269146,0.062753846,0.39253111,0.034909455,0.534762928,,
31,15.5,0.0635724,0.518006001,0.022609558,,0.042195596,0.048858075,0.042890093,0.062912673,0.379069498,0.036249495,0.520935779,,
32,16,0.063890936,0.50559556,0.022742154,,0.042344923,0.049092365,0.04308363,0.063110462,0.365581376,0.037883047,0.506443847,,
33,16.5,0.064291851,0.493435544,0.022925083,,0.042488583,0.049287151,0.043271339,0.06335225,0.352000774,0.039853226,0.491040172,,
34,17,0.064788099,0.48153244,0.023167692,,0.042626154,0.04943843,0.043452459,0.063643077,0.33826203,0.042211486,0.474469691,,
35,17.5,0.065394104,0.469892717,0.023479327,,0.042757212,0.049542045,0.043626196,0.063987981,0.324300186,0.045020378,0.4564717,,
36,18,0.066126162,0.458522811,0.023869333,,0.042881333,0.049593633,0.043791723,0.064392,0.310051411,0.048357408,0.436782669,,
37,18.5,0.067002978,0.447429107,0.024347058,,0.042998096,0.049588656,0.043948181,0.064860173,0.295453441,0.05232051,0.41513944,,
38,19,0.068046391,0.436617928,0.024921846,,0.043107077,0.049522378,0.044094676,0.065397538,0.280446045,0.057036009,0.391283218,,
39,19.5,0.06928238,0.426095518,0.025603045,,0.043207853,0.049389912,0.04423028,0.066009135,0.264971524,0.062670475,0.3649638,,
40,20,0.070742475,0.415868035,0.0264,,0.0433,0.049186194,0.044354032,0.0667,0.248975238,,0.335944811,,
